BusinessEntityID,NationalIDNumber,LoginID,OrganizationNode,OrganizationLevel,JobTitle,BirthDate,MaritalStatus,Gender,HireDate,SalariedFlag,VacationHours,SickLeaveHours,CurrentFlag,rowguid,ModifiedDate,AllocatedWorkHours,EthnicBackground,EfficiencyDuringWorkHours,KeyboardPressesPerDay,AutomatedScore
106,561196580,adventure-works\john4,/3/1/10/4/,2,Production Technician - WC10,00:00.0,S,M,00:00.0,FALSE,92,66,TRUE,D4CF23D9-21B6-45E4-827C-22890DF0373B,00:00.0,82%,US,80%,379,95
110,857651804,adventure-works\jun0,/3/1/11/2/,2,Production Technician - WC50,00:00.0,S,M,00:00.0,FALSE,90,65,TRUE,9C5F84D1-FB96-4D82-92A1-F932903DEAAD,00:00.0,81%,US,87%,897,78
111,415823523,adventure-works\suroor0,/3/1/11/3/,2,Production Technician - WC50,00:00.0,S,M,00:00.0,FALSE,93,66,TRUE,14010B0E-C101-4E41-B788-21923399E512,00:00.0,82%,US,90%,1641,87
112,981597097,adventure-works\john1,/3/1/11/4/,4,Production Technician - WC50,00:00.0,S,F,00:00.0,FALSE,91,65,TRUE,B6998410-EE0F-4307-9E6E-FE348F11012D,00:00.0,81%,US,29%,589,74
116,398737566,adventure-works\michael2,/3/1/11/8/,3,Production Technician - WC50,00:00.0,S,F,00:00.0,FALSE,98,69,TRUE,C6EB2566-CF28-4602-9A25-5B91C8728838,00:00.0,85%,US,27%,950,97
119,334834274,adventure-works\michael4,/3/1/11/11/,2,Production Technician - WC50,00:00.0,S,M,00:00.0,FALSE,94,67,TRUE,EB27C026-9470-4450-8D5E-1F38A41793B5,00:00.0,83%,US,24%,326,87
128,384162788,adventure-works\paul0,/3/1/13/1/,2,Production Technician - WC40,00:00.0,S,M,00:00.0,FALSE,68,54,TRUE,0217049E-1566-42B6-8027-41B751E2B00B,00:00.0,70%,US,48%,270,96
129,502058701,adventure-works\gary0,/3/1/13/2/,3,Production Technician - WC40,00:00.0,S,F,00:00.0,FALSE,69,54,TRUE,A03D6052-1F85-4EBE-AAC9-B67CFDCD91A6,00:00.0,70%,US,72%,217,94
130,578953538,adventure-works\rob1,/3/1/13/3/,2,Production Technician - WC40,00:00.0,S,M,00:00.0,FALSE,71,55,TRUE,54FDA597-6822-42B4-B128-63ECA03071F2,00:00.0,71%,US,24%,1551,96
131,273260055,adventure-works\baris0,/3/1/13/4/,3,Production Technician - WC40,00:00.0,S,F,00:00.0,FALSE,72,56,TRUE,232D68BF-DF58-48F9-9235-53BD4B009B4B,00:00.0,72%,US,26%,1824,76
133,830150469,adventure-works\michael1,/3/1/13/6/,3,Production Technician - WC40,00:00.0,S,F,00:00.0,FALSE,70,55,TRUE,416BF905-7D6C-4692-8FD6-40F6C4F9ECC4,00:00.0,71%,US,29%,1431,86
139,113393530,adventure-works\hung-fu0,/3/1/14/5/,4,Production Technician - WC20,00:00.0,S,F,00:00.0,FALSE,0,20,TRUE,065D8D5F-9504-4FFE-98DC-E69677F19F15,00:00.0,36%,Slovenian,36%,1592,33
143,56772045,adventure-works\krishna0,/3/1/14/9/,2,Production Technician - WC20,00:00.0,S,M,00:00.0,FALSE,2,21,TRUE,42A506A5-0AC0-4148-B702-BB7B804EF98C,00:00.0,37%,Sorbian,29%,1518,16
146,160739235,adventure-works\jianshuo0,/3/1/15/1/,1,Production Technician - WC30,00:00.0,S,M,00:00.0,FALSE,36,38,TRUE,6FFF136A-9664-4EB9-9243-FAC76E21B9DD,00:00.0,54%,Spanish,92%,1819,40
148,733022683,adventure-works\jason0,/3/1/15/3/,1,Production Technician - WC30,00:00.0,S,M,00:00.0,FALSE,38,39,TRUE,C16C501D-942D-4EB0-B5C4-EF8119FBEBA2,00:00.0,55%,Swedish,45%,1429,48
153,568596888,adventure-works\hanying0,/3/1/16/1/,1,Production Technician - WC20,00:00.0,S,M,00:00.0,FALSE,15,27,TRUE,618B71BC-6E8C-492D-8862-B9EFB7A4E06A,00:00.0,43%,Swiss,76%,1933,57
155,212801092,adventure-works\fadi0,/3/1/16/3/,1,Production Technician - WC20,00:00.0,S,M,00:00.0,FALSE,16,28,TRUE,9923376F-26D0-4845-9D99-CC3D696CAEB8,00:00.0,44%,Ukrainian,62%,1863,47
159,404159499,adventure-works\terrence0,/3/1/16/7/,4,Production Technician - WC20,00:00.0,S,F,00:00.0,FALSE,13,26,TRUE,4DA76442-5EEF-41FB-AE19-16C55714F9AD,00:00.0,42%,Walloon,78%,747,19
161,275962311,adventure-works\kirk0,/3/1/17/1/,4,Production Technician - WC45,00:00.0,S,F,00:00.0,FALSE,74,57,TRUE,08D25BAA-167B-499C-8B51-31DCC856A8CF,00:00.0,73%,US,83%,984,72
164,65848458,adventure-works\andrew1,/3/1/17/4/,4,Production Technician - WC45,00:00.0,S,F,00:00.0,FALSE,73,56,TRUE,A2A2CF20-4E5C-45F7-A7BD-1B94F0C3A43A,00:00.0,72%,US,49%,1961,92
167,498138869,adventure-works\david1,/3/1/18/1/,1,Production Technician - WC30,00:00.0,S,M,00:00.0,FALSE,25,32,TRUE,ED7EE92E-A9D0-4E3A-8DEE-4B143E459F7E,00:00.0,48%,Blackfoot,59%,384,10
168,271438431,adventure-works\garrett0,/3/1/18/2/,1,Production Technician - WC30,00:00.0,S,M,00:00.0,FALSE,34,37,TRUE,A6F5F72F-AA03-41B7-8B6E-B123BD360753,00:00.0,53%,Cajun,57%,974,33
171,746373306,adventure-works\david3,/3/1/18/5/,2,Production Technician - WC30,00:00.0,S,M,00:00.0,FALSE,32,36,TRUE,84C358D4-2493-452C-B7D6-B212C893A009,00:00.0,52%,Cherokee,56%,902,65
173,87268837,adventure-works\eugene0,/3/1/18/7/,1,Production Technician - WC30,00:00.0,S,M,00:00.0,FALSE,33,36,TRUE,1BA1D374-18AE-48ED-938F-6F5D2EEC4D4D,00:00.0,52%,Chickasaw,53%,1790,26
174,585408256,adventure-works\benjamin0,/3/1/18/8/,1,Production Technician - WC30,00:00.0,S,M,00:00.0,FALSE,28,34,TRUE,F1A6F824-895B-4A0F-AF1B-05FBA703E69F,00:00.0,50%,Choctaw,45%,783,60
178,568626529,adventure-works\john3,/3/1/18/12/,1,Production Technician - WC30,00:00.0,S,M,00:00.0,FALSE,27,33,TRUE,96C7EAB1-6DEA-4C59-AFD8-923F0E8DE1F6,00:00.0,49%,Chumash,70%,1782,57
179,587567941,adventure-works\jan0,/3/1/18/13/,2,Production Technician - WC30,00:00.0,S,M,00:00.0,FALSE,30,35,TRUE,975F827D-BE71-4EB1-8DBF-E6C451D1FAD5,00:00.0,51%,Creek,73%,1365,47
181,545337468,adventure-works\michael0,/3/1/19/1/,1,Production Technician - WC20,00:00.0,S,M,00:00.0,FALSE,20,30,TRUE,4FD6FE82-535A-4DD1-BEB1-154A8B5E42F0,00:00.0,46%,Cuban,43%,1050,27
182,368920189,adventure-works\nitin0,/3/1/19/2/,2,Production Technician - WC20,00:00.0,S,M,00:00.0,FALSE,21,30,TRUE,EBBC6787-3F2D-4F6B-9EA3-4DEF02EF382E,00:00.0,46%,Dakota,83%,940,13
185,621932914,adventure-works\stefen0,/3/1/19/5/,4,Production Technician - WC20,00:00.0,S,F,00:00.0,FALSE,19,29,TRUE,B9EEBF9F-F694-4BC2-98EC-9B4FB0379EDF,00:00.0,45%,Dutch Trinidadian,63%,1805,18
190,456839592,adventure-works\robert0,/3/1/20/4/,3,Production Technician - WC45,00:00.0,S,F,00:00.0,FALSE,82,61,TRUE,2203154E-5EBD-4ACA-99BE-D835A3309D03,00:00.0,77%,US,75%,462,87
191,399658727,adventure-works\lionel0,/3/1/20/5/,2,Production Technician - WC45,00:00.0,S,M,00:00.0,FALSE,78,59,TRUE,231B1798-F67B-45C1-9688-265180F93D28,00:00.0,75%,US,81%,1109,78
193,761597760,adventure-works\alejandro0,/3/1/21/1/,4,Production Technician - WC40,00:00.0,S,F,00:00.0,FALSE,52,46,TRUE,8C7321D2-2C64-4902-9D64-8F5C1EB7F747,00:00.0,62%,German,55%,1026,20
194,295971920,adventure-works\fred0,/3/1/21/2/,4,Production Technician - WC40,00:00.0,S,F,00:00.0,FALSE,47,43,TRUE,45358AE8-0B0E-4C11-90BB-DAC3EC0D5C82,00:00.0,59%,Guatemalan,87%,685,32
195,918737118,adventure-works\kevin1,/3/1/21/3/,1,Production Technician - WC40,00:00.0,S,M,00:00.0,FALSE,58,49,TRUE,DC7E95FF-275E-41C2-8ED3-686864F0540A,00:00.0,65%,Haitian,24%,596,19
201,746201340,adventure-works\brian0,/3/1/21/9/,4,Production Technician - WC40,00:00.0,S,F,00:00.0,FALSE,55,47,TRUE,18D594A8-B4ED-43C0-9C43-6033FEAADF4E,00:00.0,63%,Hawaiian,38%,297,30
202,436757988,adventure-works\tawana0,/3/1/21/10/,2,Production Technician - WC40,00:00.0,S,M,00:00.0,FALSE,50,45,TRUE,BB4A3E50-232E-4212-9FAF-E67429FEBC7D,00:00.0,61%,Hopi,72%,928,56
206,835460180,adventure-works\stuart0,/3/1/22/1/,2,Production Technician - WC45,00:00.0,S,M,00:00.0,FALSE,84,62,TRUE,4F361B4F-7920-4037-9A0A-46D616F9B9C7,00:00.0,78%,US,25%,537,70
207,687685941,adventure-works\greg0,/3/1/22/2/,4,Production Technician - WC45,00:00.0,S,F,00:00.0,FALSE,85,62,TRUE,A36B5D6B-72A5-47F8-9F6B-5D922130E760,00:00.0,78%,US,66%,1349,95
215,381772114,adventure-works\mark0,/3/2/1/3/,4,Quality Assurance Technician,00:00.0,S,F,00:00.0,FALSE,83,61,TRUE,6B63EF27-2C55-4F4C-BE29-FCE8B694DC4A,00:00.0,77%,US,41%,460,82
216,403414852,adventure-works\sean0,/3/2/1/4/,4,Quality Assurance Technician,00:00.0,S,F,00:00.0,FALSE,82,61,TRUE,34E128CF-D904-4327-8014-9DF0D5DE7D08,00:00.0,77%,US,46%,916,71
218,540688287,adventure-works\tengiz0,/3/2/2/1/,4,Control Specialist,00:00.0,S,F,00:00.0,FALSE,76,58,TRUE,C609B3B2-7969-410C-934C-62C34B63C4EE,00:00.0,74%,US,39%,1313,98
219,242381745,adventure-works\sean1,/3/2/2/2/,4,Document Control Assistant,00:00.0,S,F,00:00.0,FALSE,78,59,TRUE,F78657A9-83EF-4B4D-9809-3C4C6D1A7BB4,00:00.0,75%,US,50%,1158,76
232,646304055,adventure-works\pat0,/3/4/1/4/,3,Janitor,00:00.0,S,F,00:00.0,FALSE,89,64,TRUE,49238447-30EE-4009-993F-0B6C756AB436,00:00.0,80%,US,84%,797,92
251,603686790,adventure-works\mikael0,/4/3/1/1/,3,Buyer,00:00.0,S,F,00:00.0,FALSE,59,49,TRUE,D0FD55FF-42FA-491E-8B3B-AB3316018909,00:00.0,65%,Lakota,51%,1979,53
257,381073001,adventure-works\eric2,/4/3/1/7/,3,Buyer,00:00.0,S,F,00:00.0,FALSE,54,47,TRUE,A28AB377-06F5-417A-A5E2-59F459088699,00:00.0,63%,Lumbee,59%,1184,33
12,480168528,adventure-works\thierry0,/1/1/5/1/,4,Tool Designer,00:00.0,M,F,00:00.0,FALSE,9,24,TRUE,1D955171-E773-4FAD-8382-40FD898D5D4D,00:00.0,40%,Mexican,80%,1533,23
28,14417807,adventure-works\guy1,/3/1/1/1/,4,Production Technician - WC60,00:00.0,M,F,00:00.0,FALSE,21,30,TRUE,AAE1D04A-C237-4974-B4D5-935247737718,00:00.0,46%,Micmac,23%,472,24
33,801758002,adventure-works\annik0,/3/1/1/6/,2,Production Technician - WC60,00:00.0,M,M,00:00.0,FALSE,17,28,TRUE,51FDE6AC-BD50-467C-90E5-10CA7310455C,00:00.0,44%,Mongolian,57%,1042,65
35,999440576,adventure-works\brandon0,/3/1/1/8/,3,Production Technician - WC60,00:00.0,M,F,00:00.0,FALSE,22,31,TRUE,CA5D1935-44E2-4C45-93BB-809E59F56796,00:00.0,47%,Navajo,60%,673,68
36,788456780,adventure-works\jose0,/3/1/1/9/,1,Production Technician - WC60,00:00.0,M,M,00:00.0,FALSE,20,30,TRUE,9E912556-88BA-41EE-B946-CB84AB4C1102,00:00.0,46%,Nez Perce,80%,1323,25
42,339712426,adventure-works\james0,/3/1/2/2/,2,Production Technician - WC60,00:00.0,M,M,00:00.0,FALSE,39,39,TRUE,82E52D5A-165B-4C6D-9773-C3A6B6332ECD,00:00.0,55%,Ojibwe,71%,349,22
45,500412746,adventure-works\thomas0,/3/1/2/5/,3,Production Technician - WC60,00:00.0,M,F,00:00.0,FALSE,37,38,TRUE,8FF3AF67-32F2-4A08-98C3-A40F842D41A3,00:00.0,54%,Osage,65%,765,34
50,844973625,adventure-works\sidney0,/3/1/3/3/,1,Production Technician - WC10,00:00.0,M,M,00:00.0,FALSE,84,62,TRUE,40D603D9-7F99-48B7-A580-B17CF429BED2,00:00.0,78%,US,40%,1787,80
58,571658797,adventure-works\kendall0,/3/1/4/3/,3,Production Technician - WC50,00:00.0,M,F,00:00.0,FALSE,11,25,TRUE,65207627-5521-4A8E-AD3C-B2F1B5226B85,00:00.0,41%,Paiute,37%,959,25
65,8066363,adventure-works\randy0,/3/1/5/3/,3,Production Technician - WC60,00:00.0,M,F,00:00.0,FALSE,29,34,TRUE,9A08108D-E039-4862-8F93-55F18017AD72,00:00.0,50%,Papua New Guinean,69%,225,34
70,36151748,adventure-works\david2,/3/1/5/8/,1,Production Technician - WC60,00:00.0,M,M,00:00.0,FALSE,33,36,TRUE,FC617BB8-D2A3-4374-873C-8EF38D80127D,00:00.0,52%,Pawnee,36%,342,47
72,443968955,adventure-works\steven0,/3/1/6/1/,2,Production Technician - WC30,00:00.0,M,M,00:00.0,FALSE,41,40,TRUE,0A8937C9-68AA-4D48-BA4E-B40493D764AA,00:00.0,56%,Pennacook,22%,910,44
79,697712387,adventure-works\eric1,/3/1/7/1/,3,Production Technician - WC40,00:00.0,M,F,00:00.0,FALSE,60,50,TRUE,55F62E38-9457-46C8-A824-E46A3117A935,00:00.0,66%,Pima,45%,784,50
83,988315686,adventure-works\patrick1,/3/1/7/5/,2,Production Technician - WC40,00:00.0,M,M,00:00.0,FALSE,61,50,TRUE,296C52AE-169F-4292-975D-C508476DCECF,00:00.0,66%,Polynesian,92%,1597,29
84,947029962,adventure-works\frank3,/3/1/7/6/,2,Production Technician - WC40,00:00.0,M,M,00:00.0,FALSE,66,53,TRUE,9AF24ACC-EA3E-4EFE-B5E3-4762C496D57C,00:00.0,69%,Puerto Rican,78%,455,20
86,769680433,adventure-works\ryan0,/3/1/7/8/,1,Production Technician - WC40,00:00.0,M,M,00:00.0,FALSE,59,49,TRUE,10E5BD6F-2B9C-4192-A94D-6A2D50EA1ADB,00:00.0,65%,Quechua,25%,1957,26
92,826454897,adventure-works\tom0,/3/1/8/5/,3,Production Technician - WC10,00:00.0,M,F,00:00.0,FALSE,98,69,TRUE,B3BF7FC5-2014-48CE-B7BB-76124FA8446C,00:00.0,85%,US,62%,358,97
94,718299860,adventure-works\russell0,/3/1/9/1/,3,Production Technician - WC50,00:00.0,M,F,00:00.0,FALSE,6,23,TRUE,6B10192F-D570-47C4-82C9-3D979B1EFDC1,00:00.0,39%,Seminole,68%,1708,18
95,674171828,adventure-works\jim0,/3/1/9/2/,2,Production Technician - WC50,00:00.0,M,M,00:00.0,FALSE,1,20,TRUE,6175876E-8FCC-4917-BE06-FC358515E6DF,00:00.0,36%,Afro-Brazilian,55%,1254,55
98,152085091,adventure-works\sameer0,/3/1/9/5/,4,Production Technician - WC50,00:00.0,M,F,00:00.0,FALSE,4,22,TRUE,A703169F-1563-488E-914D-D784FD07F29A,00:00.0,38%,Andean,31%,1737,37
100,204035155,adventure-works\lolan0,/3/1/9/7/,3,Production Technician - WC50,00:00.0,M,F,00:00.0,FALSE,7,23,TRUE,9B9B768D-7CC1-4DCE-87CB-765AB73A6AFF,00:00.0,39%,Bolivian,77%,540,48
101,153288994,adventure-works\houman0,/3/1/9/8/,1,Production Technician - WC50,00:00.0,M,M,00:00.0,FALSE,3,21,TRUE,9CE8B2E8-9944-4BA5-97DE-441D8314F161,00:00.0,37%,Brazilian,54%,396,13
107,393421437,adventure-works\christopher0,/3/1/10/5/,1,Production Technician - WC10,00:00.0,M,M,00:00.0,FALSE,91,65,TRUE,F71C6055-557B-4660-86FF-8C0FA14B24E6,00:00.0,81%,US,54%,1229,97
114,342607223,adventure-works\mindaugas0,/3/1/11/6/,2,Production Technician - WC50,00:00.0,M,M,00:00.0,FALSE,97,68,TRUE,1D784088-DACB-4185-9F60-3D2DB4925BA5,00:00.0,84%,US,23%,1382,86
117,599942664,adventure-works\chad0,/3/1/11/9/,4,Production Technician - WC50,00:00.0,M,F,00:00.0,FALSE,99,69,TRUE,83A32D4C-4725-478F-9997-91739BB957BA,00:00.0,85%,US,83%,1058,79
118,222400012,adventure-works\don0,/3/1/11/10/,4,Production Technician - WC50,00:00.0,M,F,00:00.0,FALSE,88,64,TRUE,E720053D-922E-4C91-B81A-A1CA4EF8BB0E,00:00.0,80%,US,95%,1832,87
123,337752649,adventure-works\vamsi0,/3/1/12/2/,4,Shipping and Receiving Clerk,00:00.0,M,F,00:00.0,FALSE,95,67,TRUE,A8838AB2-99DE-415C-8675-D82EBF1C4752,00:00.0,83%,US,76%,841,98
125,584205124,adventure-works\matthias0,/3/1/12/4/,4,Shipping and Receiving Clerk,00:00.0,M,F,00:00.0,FALSE,94,67,TRUE,54ED63DC-C62C-4CC7-89C2-015DF49C49A5,00:00.0,83%,US,76%,1744,86
126,652779496,adventure-works\jimmy0,/3/1/12/5/,3,Stocker,00:00.0,M,F,00:00.0,FALSE,96,68,TRUE,96442787-9520-4955-A457-38AFDDB6FF13,00:00.0,84%,US,63%,1255,81
135,964089218,adventure-works\ivo0,/3/1/14/1/,3,Production Technician - WC20,00:00.0,M,F,00:00.0,FALSE,9,24,TRUE,D83A26F3-7EA7-477B-A5BB-7EAADFC13A09,00:00.0,40%,Mapuche,27%,1470,10
136,701156975,adventure-works\sylvester0,/3/1/14/2/,1,Production Technician - WC20,00:00.0,M,M,00:00.0,FALSE,4,22,TRUE,D9C43D08-3882-4E5C-BDF0-F6BD7004CD04,00:00.0,38%,Tobagonian,22%,1003,42
140,339233463,adventure-works\prasanna0,/3/1/14/6/,3,Production Technician - WC20,00:00.0,M,F,00:00.0,FALSE,5,22,TRUE,72ED240A-0FD8-4423-8A49-9078BA6BCF6C,00:00.0,38%,Uruguayan,91%,346,32
141,872923042,adventure-works\min0,/3/1/14/7/,2,Production Technician - WC20,00:00.0,M,M,00:00.0,FALSE,1,20,TRUE,CC75C35D-1566-43FA-B2E9-D1E508EFDCD1,00:00.0,36%,Venezuelan,95%,747,37
144,886023130,adventure-works\paul1,/3/1/14/10/,2,Production Technician - WC20,00:00.0,M,M,00:00.0,FALSE,6,23,TRUE,DC5BA622-B860-41EE-AF92-5FEB4779B589,00:00.0,39%,Wayuu,64%,737,34
149,764853868,adventure-works\andy0,/3/1/15/4/,3,Production Technician - WC30,00:00.0,M,F,00:00.0,FALSE,39,39,TRUE,615A6BFE-3046-4037-9764-238535F725BE,00:00.0,55%,Zenu,65%,1568,64
150,878395493,adventure-works\michael5,/3/1/15/5/,3,Production Technician - WC30,00:00.0,M,F,00:00.0,FALSE,35,37,TRUE,2B0876D4-8996-4E71-A613-BE2E98E7ACCF,00:00.0,53%,Zulu,88%,709,24
151,993310268,adventure-works\rostislav0,/3/1/15/6/,4,Production Technician - WC30,00:00.0,M,F,00:00.0,FALSE,40,40,TRUE,00027A8C-C2F8-4A31-ABA8-8A203638B8F1,00:00.0,56%,Yanomami,48%,1532,51
154,97728960,adventure-works\raymond0,/3/1/16/2/,4,Production Technician - WC20,00:00.0,M,F,00:00.0,FALSE,10,25,TRUE,9F01E1FB-B893-40CC-9F5C-AAF89F9B7AF5,00:00.0,41%,Yoruba,20%,775,39
156,322160340,adventure-works\lane0,/3/1/16/4/,3,Production Technician - WC20,00:00.0,M,F,00:00.0,FALSE,11,25,TRUE,042427B8-3883-4A87-A6A3-724EE1690F49,00:00.0,41%,Honduran,86%,755,18
163,377784364,adventure-works\alex0,/3/1/17/3/,3,Production Technician - WC45,00:00.0,M,F,00:00.0,FALSE,77,58,TRUE,B96BC9C2-5A25-4A9B-887A-C7C10E47B80C,00:00.0,74%,US,61%,245,80
165,539490372,adventure-works\chris0,/3/1/17/5/,3,Production Technician - WC45,00:00.0,M,F,00:00.0,FALSE,76,58,TRUE,300223F3-5587-4230-909B-D9C4AFD6D683,00:00.0,74%,US,31%,1904,85
170,476115505,adventure-works\george0,/3/1/18/4/,4,Production Technician - WC30,00:00.0,M,F,00:00.0,FALSE,26,33,TRUE,01B119A2-2AF3-4775-818E-B421FECB07A7,00:00.0,49%,Indio,41%,1015,17
